#;SeasonStart;PlayerName;PlayerSalary;Pos;Age;Tm;FG%;PTS
;;Jugador 0;;;;;100;0
;;Jugador 1;;;;;100;1
;;Jugador 2;;;;;100;2
;;Jugador 3;;;;;100;3
;;Jugador 4;;;;;100;4
;;Jugador 5;;;;;100;5
;;Jugador 6;;;;;100;6
;;Jugador 7;;;;;100;7
;;Jugador 8;;;;;100;8
;;Jugador 9;;;;;100;9
;;Jugador 10;;;;;100;10
;;Jugador 11;;;;;100;11
;;Jugador 12;;;;;100;12
;;Jugador 13;;;;;100;13
;;Jugador 14;;;;;100;14
;;Jugador 15;;;;;100;15
;;Jugador 16;;;;;100;16
;;Jugador 17;;;;;100;17
;;Jugador 18;;;;;100;18
;;Jugador 19;;;;;100;19
;;Jugador 20;;;;;100;20
;;Jugador 21;;;;;100;21
;;Jugador 22;;;;;100;22
;;Jugador 23;;;;;100;23
;;Jugador 24;;;;;100;24
;;Jugador 25;;;;;100;25
;;Jugador 26;;;;;100;26
;;Jugador 27;;;;;100;27
;;Jugador 28;;;;;100;28
;;Jugador 29;;;;;100;29
;;Jugador 30;;;;;100;30
;;Jugador 31;;;;;100;31
;;Jugador 32;;;;;100;32
;;Jugador 33;;;;;100;33
;;Jugador 34;;;;;100;34
;;Jugador 35;;;;;100;35
;;Jugador 36;;;;;100;36
;;Jugador 37;;;;;100;37
;;Jugador 38;;;;;100;38
;;Jugador 39;;;;;100;39
;;Jugador 40;;;;;100;40
;;Jugador 41;;;;;100;41
;;Jugador 42;;;;;100;42
;;Jugador 43;;;;;100;43
;;Jugador 44;;;;;100;44
;;Jugador 45;;;;;100;45
;;Jugador 46;;;;;100;46
;;Jugador 47;;;;;100;47
;;Jugador 48;;;;;100;48
;;Jugador 49;;;;;100;49
;;Jugador 50;;;;;100;50
;;Jugador 51;;;;;100;51
;;Jugador 52;;;;;100;52
;;Jugador 53;;;;;100;53
;;Jugador 54;;;;;100;54
;;Jugador 55;;;;;100;55
;;Jugador 56;;;;;100;56
;;Jugador 57;;;;;100;57
;;Jugador 58;;;;;100;58
;;Jugador 59;;;;;100;59
;;Jugador 60;;;;;100;60
;;Jugador 61;;;;;100;61
;;Jugador 62;;;;;100;62
;;Jugador 63;;;;;100;63
;;Jugador 64;;;;;100;64
;;Jugador 65;;;;;100;65
;;Jugador 66;;;;;100;66
;;Jugador 67;;;;;100;67
;;Jugador 68;;;;;100;68
;;Jugador 69;;;;;100;69
;;Jugador 70;;;;;100;70
;;Jugador 71;;;;;100;71
;;Jugador 72;;;;;100;72
;;Jugador 73;;;;;100;73
;;Jugador 74;;;;;100;74
;;Jugador 75;;;;;100;75
;;Jugador 76;;;;;100;76
;;Jugador 77;;;;;100;77
;;Jugador 78;;;;;100;78
;;Jugador 79;;;;;100;79
;;Jugador 80;;;;;100;80
;;Jugador 81;;;;;100;81
;;Jugador 82;;;;;100;82
;;Jugador 83;;;;;100;83
;;Jugador 84;;;;;100;84
;;Jugador 85;;;;;100;85
;;Jugador 86;;;;;100;86
;;Jugador 87;;;;;100;87
;;Jugador 88;;;;;100;88
;;Jugador 89;;;;;100;89
;;Jugador 90;;;;;100;90
;;Jugador 91;;;;;100;91
;;Jugador 92;;;;;100;92
;;Jugador 93;;;;;100;93
;;Jugador 94;;;;;100;94
;;Jugador 95;;;;;100;95
;;Jugador 96;;;;;100;96
;;Jugador 97;;;;;100;97
;;Jugador 98;;;;;100;98
;;Jugador 99;;;;;100;99
;;Jugador 100;;;;;100;100
;;Jugador 101;;;;;100;101
;;Jugador 102;;;;;100;102
;;Jugador 103;;;;;100;103
;;Jugador 104;;;;;100;104
;;Jugador 105;;;;;100;105
;;Jugador 106;;;;;100;106
;;Jugador 107;;;;;100;107
;;Jugador 108;;;;;100;108
;;Jugador 109;;;;;100;109
;;Jugador 110;;;;;100;110
;;Jugador 111;;;;;100;111
;;Jugador 112;;;;;100;112
;;Jugador 113;;;;;100;113
;;Jugador 114;;;;;100;114
;;Jugador 115;;;;;100;115
;;Jugador 116;;;;;100;116
;;Jugador 117;;;;;100;117
;;Jugador 118;;;;;100;118
;;Jugador 119;;;;;100;119
;;Jugador 120;;;;;100;120
;;Jugador 121;;;;;100;121
;;Jugador 122;;;;;100;122
;;Jugador 123;;;;;100;123
;;Jugador 124;;;;;100;124
;;Jugador 125;;;;;100;125
;;Jugador 126;;;;;100;126
;;Jugador 127;;;;;100;127
;;Jugador 128;;;;;100;128
;;Jugador 129;;;;;100;129
;;Jugador 130;;;;;100;130
;;Jugador 131;;;;;100;131
;;Jugador 132;;;;;100;132
;;Jugador 133;;;;;100;133
;;Jugador 134;;;;;100;134
;;Jugador 135;;;;;100;135
;;Jugador 136;;;;;100;136
;;Jugador 137;;;;;100;137
;;Jugador 138;;;;;100;138
;;Jugador 139;;;;;100;139
;;Jugador 140;;;;;100;140
;;Jugador 141;;;;;100;141
;;Jugador 142;;;;;100;142
;;Jugador 143;;;;;100;143
;;Jugador 144;;;;;100;144
;;Jugador 145;;;;;100;145
;;Jugador 146;;;;;100;146
;;Jugador 147;;;;;100;147
;;Jugador 148;;;;;100;148
;;Jugador 149;;;;;100;149
;;Jugador 150;;;;;100;150
;;Jugador 151;;;;;100;151
;;Jugador 152;;;;;100;152
;;Jugador 153;;;;;100;153
;;Jugador 154;;;;;100;154
;;Jugador 155;;;;;100;155
;;Jugador 156;;;;;100;156
;;Jugador 157;;;;;100;157
;;Jugador 158;;;;;100;158
;;Jugador 159;;;;;100;159
;;Jugador 160;;;;;100;160
;;Jugador 161;;;;;100;161
;;Jugador 162;;;;;100;162
;;Jugador 163;;;;;100;163
;;Jugador 164;;;;;100;164
;;Jugador 165;;;;;100;165
;;Jugador 166;;;;;100;166
;;Jugador 167;;;;;100;167
;;Jugador 168;;;;;100;168
;;Jugador 169;;;;;100;169
;;Jugador 170;;;;;100;170
;;Jugador 171;;;;;100;171
;;Jugador 172;;;;;100;172
;;Jugador 173;;;;;100;173
;;Jugador 174;;;;;100;174
;;Jugador 175;;;;;100;175
;;Jugador 176;;;;;100;176
;;Jugador 177;;;;;100;177
;;Jugador 178;;;;;100;178
;;Jugador 179;;;;;100;179
;;Jugador 180;;;;;100;180
;;Jugador 181;;;;;100;181
;;Jugador 182;;;;;100;182
;;Jugador 183;;;;;100;183
;;Jugador 184;;;;;100;184
;;Jugador 185;;;;;100;185
;;Jugador 186;;;;;100;186
;;Jugador 187;;;;;100;187
;;Jugador 188;;;;;100;188
;;Jugador 189;;;;;100;189
;;Jugador 190;;;;;100;190
;;Jugador 191;;;;;100;191
;;Jugador 192;;;;;100;192
;;Jugador 193;;;;;100;193
;;Jugador 194;;;;;100;194
;;Jugador 195;;;;;100;195
;;Jugador 196;;;;;100;196
;;Jugador 197;;;;;100;197
;;Jugador 198;;;;;100;198
;;Jugador 199;;;;;100;199
;;Jugador 200;;;;;100;200
;;Jugador 201;;;;;100;201
;;Jugador 202;;;;;100;202
;;Jugador 203;;;;;100;203
;;Jugador 204;;;;;100;204
;;Jugador 205;;;;;100;205
;;Jugador 206;;;;;100;206
;;Jugador 207;;;;;100;207
;;Jugador 208;;;;;100;208
;;Jugador 209;;;;;100;209
;;Jugador 210;;;;;100;210
;;Jugador 211;;;;;100;211
;;Jugador 212;;;;;100;212
;;Jugador 213;;;;;100;213
;;Jugador 214;;;;;100;214
;;Jugador 215;;;;;100;215
;;Jugador 216;;;;;100;216
;;Jugador 217;;;;;100;217
;;Jugador 218;;;;;100;218
;;Jugador 219;;;;;100;219
;;Jugador 220;;;;;100;220
;;Jugador 221;;;;;100;221
;;Jugador 222;;;;;100;222
;;Jugador 223;;;;;100;223
;;Jugador 224;;;;;100;224
;;Jugador 225;;;;;100;225
;;Jugador 226;;;;;100;226
;;Jugador 227;;;;;100;227
;;Jugador 228;;;;;100;228
;;Jugador 229;;;;;100;229
;;Jugador 230;;;;;100;230
;;Jugador 231;;;;;100;231
;;Jugador 232;;;;;100;232
;;Jugador 233;;;;;100;233
;;Jugador 234;;;;;100;234
;;Jugador 235;;;;;100;235
;;Jugador 236;;;;;100;236
;;Jugador 237;;;;;100;237
;;Jugador 238;;;;;100;238
;;Jugador 239;;;;;100;239
;;Jugador 240;;;;;100;240
;;Jugador 241;;;;;100;241
;;Jugador 242;;;;;100;242
;;Jugador 243;;;;;100;243
;;Jugador 244;;;;;100;244
;;Jugador 245;;;;;100;245
;;Jugador 246;;;;;100;246
;;Jugador 247;;;;;100;247
;;Jugador 248;;;;;100;248
;;Jugador 249;;;;;100;249
;;Jugador 250;;;;;100;250
;;Jugador 251;;;;;100;251
;;Jugador 252;;;;;100;252
;;Jugador 253;;;;;100;253
;;Jugador 254;;;;;100;254
;;Jugador 255;;;;;100;255
;;Jugador 256;;;;;100;256
;;Jugador 257;;;;;100;257
;;Jugador 258;;;;;100;258
;;Jugador 259;;;;;100;259
;;Jugador 260;;;;;100;260
;;Jugador 261;;;;;100;261
;;Jugador 262;;;;;100;262
;;Jugador 263;;;;;100;263
;;Jugador 264;;;;;100;264
;;Jugador 265;;;;;100;265
;;Jugador 266;;;;;100;266
;;Jugador 267;;;;;100;267
;;Jugador 268;;;;;100;268
;;Jugador 269;;;;;100;269
;;Jugador 270;;;;;100;270
;;Jugador 271;;;;;100;271
;;Jugador 272;;;;;100;272
;;Jugador 273;;;;;100;273
;;Jugador 274;;;;;100;274
;;Jugador 275;;;;;100;275
;;Jugador 276;;;;;100;276
;;Jugador 277;;;;;100;277
;;Jugador 278;;;;;100;278
;;Jugador 279;;;;;100;279
